label,outcome,direction,symbol,final_pnl,pct_90s,pct_300s,pct_600s,pct_900s,pct_1800s,pct_2700s,pct_3600s,pnl_90s,pnl_300s,pnl_600s,pnl_900s,pnl_1800s,pnl_2700s,pnl_3600s
WIF-WINNER,WINNER,LONG,WIF_USDT,1200,-0.457,-0.514,-0.514,-0.514,-0.629,-0.629,-0.629,-114.29,-128.57,-128.57,-128.57,-157.14,-157.14,-157.14
WIF-LOSER,LOSER,LONG,WIF_USDT,-554.32,-0.222,-0.998,-1.053,-1.22,-1.718,-1.718,,-55.43,-249.45,-263.3,-304.88,-429.6,-429.6,
BEST-1,WINNER,LONG,ZEC_USDT,237.92,-0.155,-0.155,-0.155,-0.155,-0.155,-0.155,-0.155,-38.7,-38.7,-38.7,-38.7,-38.7,-38.7,-38.7
BEST-2,WINNER,LONG,ZEC_USDT,234.59,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-34.04,-34.04,-34.04,-34.04,-34.04,-34.04,-34.04
BEST-3,WINNER,LONG,ZEC_USDT,233.5,-0.074,-0.1,-0.1,-0.48,-0.48,-0.48,-0.48,-18.43,-24.96,-24.96,-120.06,-120.06,-120.06,-120.06
BEST-4,WINNER,SHORT,ZEC_USDT,224.23,-0.034,-0.114,-0.373,-0.942,-0.942,-0.942,-0.942,-8.53,-28.43,-93.25,-235.4,-235.4,-235.4,-235.4
BEST-5,WINNER,LONG,ZEC_USDT,220.35,-0.04,-0.212,-0.248,-0.253,-0.828,-0.828,-0.828,-10.03,-53.1,-61.95,-63.13,-207.07,-207.07,-207.07
BEST-6,WINNER,SHORT,ZEC_USDT,193.98,-0.025,-0.535,-0.535,-0.535,-0.535,-0.535,-0.535,-6.32,-133.76,-133.76,-133.76,-133.76,-133.76,-133.76
BEST-7,WINNER,LONG,AVAX_USDT,190.58,-0.226,-0.504,-0.504,-0.504,,,,-56.52,-126.09,-126.09,-126.09,,,
BEST-8,WINNER,LONG,HYPE_USDT,181.25,-0.274,-0.327,-0.847,-0.847,-0.906,-0.906,,-68.53,-81.7,-211.68,-211.68,-226.53,-226.53,
BEST-9,WINNER,LONG,AVAX_USDT,178.27,-0.115,-0.115,-0.115,-0.115,-0.445,-0.445,-0.445,-28.86,-28.86,-28.86,-28.86,-111.33,-111.33,-111.33
BEST-10,WINNER,LONG,AVAX_USDT,160.08,-0.115,-0.115,-0.115,-0.115,-0.445,-0.445,-0.445,-28.86,-28.86,-28.86,-28.86,-111.33,-111.33,-111.33
WORST-1,LOSER,SHORT,ZEC_USDT,-479.63,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-30.13,-30.13,-30.13,-30.13,-30.13,-30.13,-30.13
WORST-2,LOSER,LONG,ZEC_USDT,-351.93,-0.327,-0.327,-0.327,-0.327,-0.327,-1.709,-2.491,-81.73,-81.73,-81.73,-81.73,-81.73,-427.35,-622.86
WORST-3,LOSER,LONG,ZEC_USDT,-344.75,-0.327,-0.327,-0.327,-0.327,-0.327,-1.709,-2.491,-81.73,-81.73,-81.73,-81.73,-81.73,-427.35,-622.86
WORST-4,LOSER,SHORT,ZEC_USDT,-337.39,-0.049,-0.07,-0.07,-0.07,-0.548,-0.548,-0.548,-12.3,-17.57,-17.57,-17.57,-137.06,-137.06,-137.06
WORST-5,LOSER,SHORT,ZEC_USDT,-333.09,-0.283,-3.146,-3.146,-3.146,-3.146,-3.146,-3.146,-70.86,-786.51,-786.51,-786.51,-786.51,-786.51,-786.51
WORST-6,LOSER,LONG,ZEC_USDT,-327.55,-0.147,-0.505,-1.465,-3.798,,,,-36.68,-126.33,-366.25,-949.49,,,
WORST-7,LOSER,SHORT,AVAX_USDT,-303.37,-0.142,-0.49,-1.975,-1.975,-1.975,-1.975,-1.975,-35.55,-122.45,-493.76,-493.76,-493.76,-493.76,-493.76
WORST-8,LOSER,LONG,ZEC_USDT,-298.54,-0.167,-0.505,-1.465,,,,,-41.77,-126.33,-366.25,,,,
WORST-9,LOSER,SHORT,ZEC_USDT,-291.44,-0.32,-2.954,-2.954,-2.954,-2.954,-2.954,-2.954,-79.91,-738.61,-738.61,-738.61,-738.61,-738.61,-738.61
WORST-10,LOSER,LONG,AVAX_USDT,-208.89,-0.111,-0.302,-0.302,-0.302,-0.302,-0.302,-0.302,-27.83,-75.54,-75.54,-75.54,-75.54,-75.54,-75.54
